fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221123 045950	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1632	1	1	1	0.1	50	0.5	FALSE	987353	0.0266515403829131	0.376413182945154	0.139333086615487	6.24522684297361	0.0201049798132712	18335	45010000	45
20221123 051255	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	693	1	1	1	0.1	50	0.5	FALSE	987353	0.282611504397742	0.875400234970287	0.246030740685784	3.636489620273	0.0233518018387836	17541	43478000	46
20221123 052335	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	94	1	1	1	0.1	50	0.5	FALSE	987353	0.161359960910126	0.332805879746703	0.785260207529634	5.70173673564382	0.0197972375367935	18489	44702000	47
20221123 053815	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1017	1	1	1	0.1	50	0.5	FALSE	987353	0.226258445453297	0.844065575687355	0.104439386923763	3.88959335618769	0.0236645556854695	17385	44270000	48
20221123 060320	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	467	1	1	1	0.1	50	0.5	FALSE	987353	0.0932960208058159	0.439363171528839	0.484315390758647	5.44209907679842	0.0202056125395197	18038	45364000	49
20221123 073248	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2954	1	1	1	0.1	50	0.5	FALSE	987353	0.134277484048163	0.388185186186922	0.210091054379498	2.45235547892959	0.018430633117898	18904	41472000	50
20221123 083031	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1038	1	1	1	0.1	50	0.5	FALSE	987353	0.0140634116214199	0.53244436368132	0.369010423222184	6.32595246205921	0.0224538969302519	17366	45748000	51
20221123 084706	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	635	1	1	1	0.1	50	0.5	FALSE	987353	0.0968936102968978	0.782009660568414	0.860712408378872	2.8540919777595	0.0238655256599692	17481	43518000	52
20221123 090220	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	416	1	1	1	0.1	50	0.5	FALSE	987353	0.0867658283173596	0.596680268995254	0.609469322637213	4.42014365942241	0.0208342532671726	18270	45220000	53
20221123 091928	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	492	1	1	1	0.1	50	0.5	FALSE	987353	0.234390968209855	0.262536173704895	0.38550250030735	1.96931355171371	0.0186732194414203	18702	39716000	54
20221123 094416	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1282	1	1	1	0.1	50	0.5	FALSE	987353	0.122459841600852	0.795990945000993	0.718775744160055	2.58513904117048	0.0248957229791508	16647	44546000	55
20221123 100455	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	154	1	1	1	0.1	50	0.5	FALSE	987353	0.0572010185825604	0.25748901389509	0.744682918113342	11.823482402192	0.00463861075728998	16721	45998000	56
20221123 101745	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	0.1	50	0.5	FALSE	987353	0.0748441564023111	0.263362531458098	0.420866064606793	7.29087707600626	0.0208538825284197	17119	46242000	57
20221123 103611	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	0.1	50	0.5	FALSE	987353	0.0841321488088556	0.306675053818338	0.424695216144342	11.6903979461775	0.00141950946804236	18116	44088000	58
20221123 105049	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	1	0.1	50	0.5	FALSE	987353	0.207942246234296	0.576044790020399	0.460355008703412	6.09551263273461	0.0213478912486176	16721	44718000	59
20221123 110130	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	0.1	50	0.5	FALSE	987353	0.257503688373623	0.395690762582119	0.258123552854871	11.3804911437833	0.0125397465265888	20350	38500000	60
20221123 112117	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	381	1	1	1	0.1	50	0.5	FALSE	987353	0.0650100271743198	0.253486017097515	0.421787301010688	9.25927741105477	0.00864035515357458	17504	43792000	61
20221123 113807	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	0.1	50	0.5	FALSE	987353	0.0866259256843931	0.508776327752927	0.948736150338605	4.12835636185738	0.0211684421140691	17991	43778000	62
20221123 115145	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	0.1	50	0.5	FALSE	987353	0.131689335365136	0.839703093021317	0.614461701513385	5.82787992189312	0.0181718958382056	18753	45214000	63
20221123 115903	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	0.1	50	0.5	FALSE	987353	0.251398528444453	0.249002435604902	0.241017962309811	9.52140570782055	0.0210763647978569	15431	43618000	64
20221123 130429	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1525	1	1	1	0.1	50	0.5	FALSE	987353	0.0320317002954846	0.853471295326319	0.644504699037981	8.0175923211039	0.00491563379502108	17214	45652000	65
20221123 142829	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4687	1	1	1	0.1	50	0.5	FALSE	987353	0.00925877267900971	0.880134491089755	0.725868160873663	2.57626472296752	0.0214963185530287	18062	43076000	66
